title         = ASCII CSV version of worksheet 39, "Renewables: Consumption" from the 2014 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2014/BP_2014_other_renewables_consumption_mtoe.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2014/BP-Statistical_Review_of_world_energy_2014_workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.1,0.0,1.1,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.1,"na",0.0,0.0,0.0
1966,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.4,0.9,0.0,0.1,0.0,1.4,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.1,"na",0.0,0.0,0.0
1967,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.1,0.0,1.5,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.1,"na",0.0,0.0,0.0
1968,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.4,1.1,0.0,0.1,0.0,1.6,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.1,"na",0.0,0.0,0.0
1969,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.4,1.2,0.0,0.2,0.0,1.8,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.2,"na",0.0,0.0,0.0
1970,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,1.6,0.0,0.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.4,1.6,0.0,0.2,0.2,2.4,0.2,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.2,"na",0.0,0.0,0.0
1971,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,1.6,0.0,0.6,0.0,0.0,2.3,0.0,0.0,0.2,0.0,0.4,1.7,0.0,0.2,0.5,2.8,0.2,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.2,"na",0.0,0.0,0.0
1972,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,1.6,0.0,0.6,0.0,0.0,2.5,0.0,0.0,0.2,0.0,0.4,1.6,0.0,0.4,0.6,3.0,0.2,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.1,0.0,0.0,0.0,"na",0.0,0.1,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.4,"na",0.0,0.0,0.0
1973,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,1.7,0.0,0.6,0.0,0.0,2.8,0.0,0.0,0.3,0.0,0.4,1.8,0.0,0.6,0.6,3.4,0.2,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.1,0.0,0.0,0.0,"na",0.0,0.1,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.5,"na",0.0,0.0,0.0
1974,0.0,0.0,0.0,0.1,"na",0.0,0.0,0.0,1.8,0.0,0.6,0.0,0.0,3.2,0.0,0.0,0.3,0.0,0.5,1.9,0.0,0.7,0.6,3.8,0.2,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,"na","na",0.1,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.1,0.0,0.0,0.0,"na",0.0,0.1,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.6,"na",0.0,0.0,0.0
