title         = ASCII CSV version of worksheet 24, "Natural Gas: Consumption" from the 2015 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2015/BP_2015_gas_consumption_mtoe.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2015/bp-statistical-review-of-world-energy-2015-workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,3.816,1.636,0.003,"na",0.0,0.063,0.055,35.397,104.622,138.836,0.162,0.218,449.185,104.945,0.716,0.038,0.901,5.266,140.342,3.355,425.363,12.795,588.022,0.045,"na",20.474,0.0,0.569,1.023,0.837,0.291,2.62,0.0,0.695,0.0,0.044,0.0,0.0,4.989,0.739,0.0,0.0,0.95,0.45,0.0,0.069,0.204,0.745,7.274,1.57,0.0,1.183,"na","na",7.526,0.0,1.287,0.0,0.0,0.342,0.0,1.592,1.473,0.0,0.073,13.731,"na",0.569,0.0,0.0,0.289,0.0,"na",0.0,1.052,0.206,"na",397.364,"na",6.096,0.0,0.0
1966,0.0,4.133,1.757,0.004,"na",0.0,0.114,0.082,40.217,116.713,154.001,0.237,0.279,486.242,117.108,0.861,0.041,1.009,5.859,157.325,3.761,458.612,13.677,640.243,0.053,"na",22.415,0.0,0.594,1.246,0.873,0.323,3.149,0.0,0.722,0.0,0.05,0.0,0.0,5.264,0.721,0.0,0.0,1.29,0.459,0.0,0.09,0.229,0.781,8.175,1.611,0.0,1.272,"na","na",7.922,0.0,2.466,0.0,0.0,0.357,0.0,1.799,1.751,0.0,0.074,14.804,"na",0.684,0.0,0.0,0.321,0.0,"na",0.0,1.234,0.231,"na",428.275,"na",6.392,0.0,0.0
1967,0.409,4.322,1.683,0.004,"na",0.0,0.435,0.249,47.496,128.497,170.021,0.244,0.348,516.039,128.954,0.806,0.043,0.994,6.641,176.45,4.428,482.815,14.731,686.059,0.059,"na",23.803,0.0,0.526,1.358,1.08,0.387,4.059,0.0,0.7,0.0,0.05,0.0,0.0,5.949,1.213,0.0,0.0,1.665,0.561,0.0,0.1,0.306,0.818,8.672,1.667,0.0,1.369,"na","na",6.811,0.0,4.338,0.0,0.0,0.334,0.0,2.099,2.14,0.0,0.101,16.321,"na",0.824,0.0,0.0,0.385,0.0,"na",0.0,1.362,0.299,"na",452.201,"na",7.004,0.0,0.0
1968,0.54,4.812,1.795,0.028,"na",0.0,1.058,0.382,60.045,138.745,183.626,0.221,0.399,562.693,139.317,0.873,0.044,1.007,7.229,199.362,5.342,517.878,15.501,746.319,0.063,"na",26.506,0.0,0.45,1.302,1.101,0.473,6.671,0.0,0.736,0.0,0.05,0.0,0.0,7.089,2.739,0.0,0.0,2.145,0.57,0.0,0.129,0.34,0.874,9.699,1.814,0.0,1.473,"na","na",7.296,0.0,7.317,0.0,0.0,0.372,0.0,2.355,2.94,0.0,0.462,17.269,"na",0.991,0.0,0.0,0.469,0.0,"na",0.0,1.429,0.421,"na",484.075,"na",7.23,0.0,0.0
1969,0.531,4.794,2.178,0.378,"na",0.0,2.178,0.397,78.023,148.275,199.44,0.17,0.407,620.406,148.984,1.199,0.045,1.202,9.527,227.006,6.431,559.723,15.955,819.845,0.066,"na",29.622,0.0,0.592,1.823,1.202,0.598,9.5,0.0,0.968,0.0,0.064,0.084,0.0,8.533,5.337,0.0,0.0,2.56,1.074,0.0,0.133,0.408,1.026,11.152,2.007,0.0,1.585,"na","na",9.025,0.0,10.782,0.0,0.0,0.379,0.0,2.902,4.076,0.0,0.765,20.053,"na",1.193,0.0,0.0,0.594,0.0,"na",0.0,1.437,0.529,"na",521.076,"na",7.44,0.0,0.0
1970,0.756,5.418,2.641,1.566,"na",0.0,3.418,0.358,97.183,162.928,219.48,0.511,0.489,672.621,163.866,1.31,0.049,1.497,13.249,261.08,8.812,591.151,16.312,892.102,0.071,"na",32.725,0.037,0.591,2.669,1.168,0.761,13.511,0.0,0.91,0.06,0.076,0.067,0.0,9.263,10.17,0.0,0.0,2.735,1.115,0.0,0.121,0.592,2.432,12.281,3.073,0.0,1.833,"na","na",9.209,0.007,15.174,0.0,0.1,0.372,0.0,3.137,5.199,0.0,0.905,20.843,"na",1.455,0.0,0.0,0.756,0.0,"na",0.0,1.644,0.502,"na",549.217,"na",6.939,0.0,0.0
1971,1.197,5.849,3.034,2.337,"na",0.0,4.713,0.247,118.752,178.093,238.96,0.542,0.476,713.463,179.212,1.544,0.053,1.651,15.676,298.041,9.683,610.679,16.692,952.423,0.112,"na",34.929,0.089,0.603,3.478,1.244,0.863,17.849,0.0,1.033,0.06,0.076,0.355,0.0,11.134,16.398,0.0,0.0,2.916,1.128,0.0,0.113,0.627,2.815,12.543,3.295,0.0,1.894,"na","na",9.54,0.071,19.827,0.0,0.127,0.444,0.0,3.128,5.717,0.0,0.905,22.286,"na",1.214,0.0,0.0,0.857,0.0,"na",0.0,1.602,1.009,"na",566.211,"na",6.725,0.0,0.0
1972,1.242,6.564,3.279,3.355,"na",0.378,5.943,0.167,141.851,187.316,252.898,0.949,0.425,748.196,188.775,1.706,0.097,2.213,18.152,330.638,10.89,621.479,17.722,1001.094,0.153,"na",39.288,0.113,0.549,4.5,1.505,0.957,23.11,0.0,1.2,0.087,0.064,1.044,0.0,13.229,23.27,0.0,0.0,3.067,1.106,0.0,0.112,0.688,3.222,12.301,3.296,0.0,2.238,"na","na",10.207,0.1,25.794,0.0,0.23,0.427,0.0,2.899,6.016,0.0,0.993,22.623,"na",1.376,0.0,0.0,0.951,0.0,"na",0.0,1.656,1.175,"na",571.985,"na",6.684,0.0,0.0
1973,1.557,7.469,3.604,4.26,"na",0.523,7.143,0.168,161.748,203.71,278.536,1.549,0.979,767.809,205.389,2.218,0.11,3.271,22.339,367.088,13.287,620.386,19.974,1046.345,0.176,"na",41.781,0.153,0.431,5.561,1.496,1.036,29.801,0.0,1.67,0.05,0.051,1.008,0.0,15.7,25.177,0.0,0.0,3.647,0.72,0.0,0.049,0.686,3.914,14.4,4.586,0.0,2.507,"na","na",11.302,0.1,28.674,0.0,0.267,0.418,0.0,3.302,6.257,0.0,1.422,23.903,"na",1.62,0.0,0.0,1.029,0.0,"na",0.0,1.591,1.356,"na",567.303,"na",8.234,0.0,0.0
1974,1.62,7.906,3.907,4.86,"na",0.575,8.371,0.366,182.894,216.007,297.084,1.656,1.632,771.867,217.893,2.476,0.115,3.643,27.693,400.836,13.991,601.777,21.011,1068.951,0.338,"na",42.234,0.321,0.449,7.002,1.518,1.262,37.281,0.0,1.933,0.1,0.054,1.26,0.382,17.2,30.114,0.0,0.0,3.824,1.014,0.0,0.059,0.776,3.98,15.77,6.267,0.0,2.638,"na","na",11.894,0.208,30.528,0.0,0.278,0.43,0.0,3.653,6.431,0.0,1.168,24.672,"na",2.05,0.0,0.0,1.254,0.0,"na",0.0,1.453,1.427,"na",547.649,"na",8.702,0.0,0.0
